,average_throughput,num_nodes,num_params,sample_time_avg
0,42.57,1.0,250M,0.02349
17,6.498,1.0,2.5B,0.1539
1,80.081,1.0,25M,0.01249
2,80.546,2.0,250M,0.01242
3,156.657,2.0,25M,0.006383
4,13.482,2.0,2.5B,0.07417
5,307.445,4.0,25M,0.003253
6,27.133,4.0,2.5B,0.03686
7,158.595,4.0,250M,0.006305
9,576.249,8.0,25M,0.001735
8,305.066,8.0,250M,0.003278
10,210.943,32.0,2.5B,0.004741
11,727.133,128.0,2.5B,0.001375
12,3226.762,128.0,25M,0.0003101
13,2050.49,128.0,250M,0.000487
16,3371.091,256.0,25M,0.0002982
14,1075.22,256.0,2.5B,0.0009318
15,2416.772,256.0,250M,0.0004161
